"UF";"COD_MUN";"NOME_MUN";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RN";241380;"Taboleiro Grande";9;19;47;"NÃO";47;"NÃO ALCANÇOU"
"RN";241390;"Taipu";49;62;79;"NÃO";79;"NÃO ALCANÇOU"
"RN";241400;"Tangará";81;84;96;"SIM";96;"ALCANÇOU"
"RN";241410;"Tenente Ananias";78;65;120;"SIM";120;"ALCANÇOU"
"RN";241415;"Tenente Laurentino Cruz";32;29;110;"SIM";110;"ALCANÇOU"
"RN";241420;"Tibau do Sul";69;105;66;"NÃO";66;"NÃO ALCANÇOU"
"RN";241430;"Timbaúba dos Batistas";20;2;1000;"SIM";1000;"ALCANÇOU"
"RN";241440;"Touros";81;186;44;"NÃO";44;"NÃO ALCANÇOU"
"RN";241445;"Triunfo Potiguar";30;21;143;"SIM";143;"ALCANÇOU"
"RN";241450;"Umarizal";80;86;93;"SIM";93;"ALCANÇOU"
"RN";241460;"Upanema";63;78;81;"NÃO";81;"NÃO ALCANÇOU"
"RN";241470;"Várzea";25;27;93;"SIM";93;"ALCANÇOU"
"RN";241475;"Venha-Ver";19;25;76;"NÃO";76;"NÃO ALCANÇOU"
"RN";241480;"Vera Cruz";46;77;60;"NÃO";60;"NÃO ALCANÇOU"
"RN";241490;"Viçosa";7;1;700;"SIM";700;"ALCANÇOU"
"RN";241500;"Vila Flor";10;17;59;"NÃO";59;"NÃO ALCANÇOU"
"PB";250010;"Água Branca";72;56;129;"SIM";129;"ALCANÇOU"
"PB";250020;"Aguiar";33;24;138;"SIM";138;"ALCANÇOU"
"PB";250030;"Alagoa Grande";219;199;110;"SIM";110;"ALCANÇOU"
"PB";250040;"Alagoa Nova";149;140;106;"SIM";106;"ALCANÇOU"
"PB";250050;"Alagoinha";101;92;110;"SIM";110;"ALCANÇOU"
"PB";250053;"Alcantil";46;14;329;"SIM";329;"ALCANÇOU"
"PB";250057;"Algodão de Jandaíra";15;13;115;"SIM";115;"ALCANÇOU"
"PB";250060;"Alhandra";156;132;118;"SIM";118;"ALCANÇOU"
"PB";250070;"São João do Rio do Peixe";118;113;104;"SIM";104;"ALCANÇOU"
"PB";250073;"Amparo";18;14;129;"SIM";129;"ALCANÇOU"
"PB";250077;"Aparecida";60;50;120;"SIM";120;"ALCANÇOU"
"PB";250080;"Araçagi";153;110;139;"SIM";139;"ALCANÇOU"
"PB";250090;"Arara";83;103;81;"NÃO";81;"NÃO ALCANÇOU"
"PB";250100;"Araruna";111;87;128;"SIM";128;"ALCANÇOU"
"PB";250110;"Areia";188;161;117;"SIM";117;"ALCANÇOU"
"PB";250115;"Areia de Baraúnas";12;4;300;"SIM";300;"ALCANÇOU"
"PB";250120;"Areial";63;34;185;"SIM";185;"ALCANÇOU"
"PB";250130;"Aroeiras";161;151;107;"SIM";107;"ALCANÇOU"
"PB";250135;"Assunção";33;20;165;"SIM";165;"ALCANÇOU"
"PB";250140;"Baía da Traição";38;38;100;"SIM";100;"ALCANÇOU"
"PB";250150;"Bananeiras";166;149;111;"SIM";111;"ALCANÇOU"
"PB";250153;"Baraúna";41;40;103;"SIM";103;"ALCANÇOU"
"PB";250157;"Barra de Santana";61;48;127;"SIM";127;"ALCANÇOU"
"PB";250160;"Barra de Santa Rosa";60;79;76;"NÃO";76;"NÃO ALCANÇOU"
"PB";250170;"Barra de São Miguel";34;47;72;"NÃO";72;"NÃO ALCANÇOU"
"PB";250180;"Bayeux";624;657;95;"SIM";95;"ALCANÇOU"
"PB";250190;"Belém";128;113;113;"SIM";113;"ALCANÇOU"
"PB";250200;"Belém do Brejo do Cruz";32;51;63;"NÃO";63;"NÃO ALCANÇOU"
"PB";250205;"Bernardino Batista";22;20;110;"SIM";110;"ALCANÇOU"
"PB";250210;"Boa Ventura";39;31;126;"SIM";126;"ALCANÇOU"
"PB";250215;"Boa Vista";51;26;196;"SIM";196;"ALCANÇOU"
"PB";250220;"Bom Jesus";33;24;138;"SIM";138;"ALCANÇOU"
"PB";250230;"Bom Sucesso";40;44;91;"SIM";91;"ALCANÇOU"
"PB";250240;"Bonito de Santa Fé";72;61;118;"SIM";118;"ALCANÇOU"
"PB";250250;"Boqueirão";129;104;124;"SIM";124;"ALCANÇOU"
"PB";250260;"Igaracy";50;45;111;"SIM";111;"ALCANÇOU"
"PB";250270;"Borborema";34;36;94;"SIM";94;"ALCANÇOU"
"PB";250280;"Brejo do Cruz";84;83;101;"SIM";101;"ALCANÇOU"
"PB";250290;"Brejo dos Santos";33;48;69;"NÃO";69;"NÃO ALCANÇOU"
"PB";250300;"Caaporã";103;118;87;"NÃO";87;"NÃO ALCANÇOU"
"PB";250310;"Cabaceiras";32;36;89;"NÃO";89;"NÃO ALCANÇOU"
"PB";250320;"Cabedelo";400;372;108;"SIM";108;"ALCANÇOU"
"PB";250330;"Cachoeira dos Índios";62;68;91;"SIM";91;"ALCANÇOU"
"PB";250340;"Cacimba de Areia";23;15;153;"SIM";153;"ALCANÇOU"
"PB";250350;"Cacimba de Dentro";130;126;103;"SIM";103;"ALCANÇOU"
"PB";250355;"Cacimbas";41;50;82;"NÃO";82;"NÃO ALCANÇOU"
"PB";250360;"Caiçara";54;41;132;"SIM";132;"ALCANÇOU"
"PB";250370;"Cajazeiras";495;420;118;"SIM";118;"ALCANÇOU"
"PB";250375;"Cajazeirinhas";14;19;74;"NÃO";74;"NÃO ALCANÇOU"
"PB";250380;"Caldas Brandão";55;34;162;"SIM";162;"ALCANÇOU"
"PB";250390;"Camalaú";48;38;126;"SIM";126;"ALCANÇOU"
"PB";250400;"Campina Grande";3144;3073;102;"SIM";102;"ALCANÇOU"
"PB";250403;"Capim";36;35;103;"SIM";103;"ALCANÇOU"
"PB";250407;"Caraúbas";30;13;231;"SIM";231;"ALCANÇOU"
"PB";250410;"Carrapateira";13;10;130;"SIM";130;"ALCANÇOU"
"PB";250415;"Casserengue";45;39;115;"SIM";115;"ALCANÇOU"
"PB";250420;"Catingueira";38;25;152;"SIM";152;"ALCANÇOU"
"PB";250430;"Catolé do Rocha";183;218;84;"NÃO";84;"NÃO ALCANÇOU"
"PB";250435;"Caturité";27;29;93;"SIM";93;"ALCANÇOU"
"PB";250440;"Conceição";130;127;102;"SIM";102;"ALCANÇOU"
"PB";250450;"Condado";57;40;143;"SIM";143;"ALCANÇOU"
"PB";250460;"Conde";181;158;115;"SIM";115;"ALCANÇOU"
"PB";250470;"Congo";39;35;111;"SIM";111;"ALCANÇOU"
"PB";250480;"Coremas";129;102;126;"SIM";126;"ALCANÇOU"
"PB";250485;"Coxixola";19;11;173;"SIM";173;"ALCANÇOU"
"PB";250490;"Cruz do Espírito Santo";92;96;96;"SIM";96;"ALCANÇOU"
"PB";250500;"Cubati";52;46;113;"SIM";113;"ALCANÇOU"
"PB";250510;"Cuité";175;130;135;"SIM";135;"ALCANÇOU"
"PB";250520;"Cuitegi";64;44;145;"SIM";145;"ALCANÇOU"
"PB";250523;"Cuité de Mamanguape";44;39;113;"SIM";113;"ALCANÇOU"
"PB";250527;"Curral de Cima";36;38;95;"SIM";95;"ALCANÇOU"
"PB";250530;"Curral Velho";21;15;140;"SIM";140;"ALCANÇOU"
"PB";250535;"Damião";27;26;104;"SIM";104;"ALCANÇOU"
"PB";250540;"Desterro";50;55;91;"SIM";91;"ALCANÇOU"
"PB";250550;"Vista Serrana";23;15;153;"SIM";153;"ALCANÇOU"
"PB";250560;"Diamante";37;45;82;"NÃO";82;"NÃO ALCANÇOU"
"PB";250570;"Dona Inês";95;58;164;"SIM";164;"ALCANÇOU"
"PB";250580;"Duas Estradas";32;22;145;"SIM";145;"ALCANÇOU"
"PB";250590;"Emas";10;15;67;"NÃO";67;"NÃO ALCANÇOU"
"PB";250600;"Esperança";260;223;117;"SIM";117;"ALCANÇOU"
"PB";250610;"Fagundes";85;68;125;"SIM";125;"ALCANÇOU"
"PB";250620;"Frei Martinho";16;29;55;"NÃO";55;"NÃO ALCANÇOU"
"PB";250625;"Gado Bravo";53;61;87;"NÃO";87;"NÃO ALCANÇOU"
