"UF";"IBGE";"Município";"Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"MG";314990;"Perdões";;1;1;100;100;"ALCANÇOU"
"MG";314995;"Periquito";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315000;"Pescador";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315010;"Piau";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315015;"Piedade de Caratinga";;1;1;100;100;"ALCANÇOU"
"MG";315020;"Piedade de Ponte Nova";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315030;"Piedade do Rio Grande";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315040;"Piedade dos Gerais";;1;1;100;100;"ALCANÇOU"
"MG";315050;"Pimenta";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315053;"Pingo-d'Água";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315057;"Pintópolis";;1;1;100;100;"ALCANÇOU"
"MG";315060;"Piracema";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315070;"Pirajuba";;1;1;100;100;"ALCANÇOU"
"MG";315080;"Piranga";;1;1;100;100;"ALCANÇOU"
"MG";315090;"Piranguçu";;1;2;50;50;"NÃO ALCANÇOU"
"MG";315100;"Piranguinho";;1;2;50;50;"NÃO ALCANÇOU"
"MG";315110;"Pirapetinga";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315120;"Pirapora";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315130;"Piraúba";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315140;"Pitangui";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315150;"Piumhi";;1;1;100;100;"ALCANÇOU"
"MG";315160;"Planura";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315170;"Poço Fundo";;1;1;100;100;"ALCANÇOU"
"MG";315180;"Poços de Caldas";;6;7;85,7142857142857;85,7;"ALCANÇOU"
"MG";315190;"Pocrane";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315200;"Pompéu";;1;2;50;50;"NÃO ALCANÇOU"
"MG";315210;"Ponte Nova";;4;4;100;100;"ALCANÇOU"
"MG";315213;"Ponto Chique";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315217;"Ponto dos Volantes";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315220;"Porteirinha";;0;1;0;0;"NÃO ALCANÇOU"
"MG";315230;"Porto Firme";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315240;"Poté";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315250;"Pouso Alegre";;204;224;91,0714285714286;91,1;"ALCANÇOU"
"MG";315260;"Pouso Alto";;0;1;0;0;"NÃO ALCANÇOU"
"MG";315270;"Prados";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315280;"Prata";;1;1;100;100;"ALCANÇOU"
"MG";315290;"Pratápolis";;0;1;0;0;"NÃO ALCANÇOU"
"MG";315300;"Pratinha";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315310;"Presidente Bernardes";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315320;"Presidente Juscelino";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315330;"Presidente Kubitschek";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315340;"Presidente Olegário";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315350;"Alto Jequitibá";"X";0;0;;;"NÃO ALCANÇOU"
