"UF";"cod_mun";"NUM_2025.a";"DEN_2025.a";"NUM_2025";"DEN_2025";"RES_2025";"Alcançou a meta?";"RES";"METAS"
"MA";211125;11;33;0,916666666666667;2,75;0,333333333333333;"Não";33,3;"NÃO ALCANÇOU"
"MA";211130;628;647;52,3333333333333;53,9166666666667;0,970633693972179;"Sim";97,1;"ALCANÇOU"
"MA";211140;101;102;8,41666666666667;8,5;0,990196078431373;"Sim";99;"ALCANÇOU"
"MA";211150;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";211153;47;72;3,91666666666667;6;0,652777777777778;"Não";65,3;"NÃO ALCANÇOU"
"MA";211157;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";211160;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"MA";211163;34;36;2,83333333333333;3;0,944444444444444;"Sim";94,4;"ALCANÇOU"
"MA";211167;22;24;1,83333333333333;2;0,916666666666667;"Sim";91,7;"ALCANÇOU"
"MA";211170;105;113;8,75;9,41666666666667;0,929203539823009;"Sim";92,9;"ALCANÇOU"
"MA";211172;16;20;1,33333333333333;1,66666666666667;0,8;"Sim";80;"ALCANÇOU"
"MA";211174;50;72;4,16666666666667;6;0,694444444444444;"Não";69,4;"NÃO ALCANÇOU"
"MA";211176;18;21;1,5;1,75;0,857142857142857;"Sim";85,7;"ALCANÇOU"
"MA";211178;17;24;1,41666666666667;2;0,708333333333333;"Não";70,8;"NÃO ALCANÇOU"
"MA";211180;119;120;9,91666666666667;10;0,991666666666667;"Sim";99,2;"ALCANÇOU"
"MA";211190;63;72;5,25;6;0,875;"Sim";87,5;"ALCANÇOU"
"MA";211195;36;36;3;3;1;"Sim";100;"ALCANÇOU"
"MA";211200;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"MA";211210;106;108;8,83333333333333;9;0,981481481481482;"Sim";98,1;"ALCANÇOU"
"MA";211220;467;491;38,9166666666667;40,9166666666667;0,95112016293279;"Sim";95,1;"ALCANÇOU"
"MA";211223;72;72;6;6;1;"Sim";100;"ALCANÇOU"
"MA";211227;12;20;1;1,66666666666667;0,6;"Não";60;"NÃO ALCANÇOU"
"MA";211230;216;240;18;20;0,9;"Sim";90;"ALCANÇOU"
"MA";211240;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";211245;96;96;8;8;1;"Sim";100;"ALCANÇOU"
"MA";211250;311;312;25,9166666666667;26;0,996794871794872;"Sim";99,7;"ALCANÇOU"
"MA";211260;0;19;0;1,58333333333333;0;"Não";0;"NÃO ALCANÇOU"
"MA";211270;18;18;1,5;1,5;1;"Sim";100;"ALCANÇOU"
"MA";211280;264;276;22;23;0,956521739130435;"Sim";95,7;"ALCANÇOU"
"MA";211285;68;77;5,66666666666667;6,41666666666667;0,883116883116883;"Sim";88,3;"ALCANÇOU"
"MA";211290;164;168;13,6666666666667;14;0,976190476190476;"Sim";97,6;"ALCANÇOU"
"MA";211300;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";211400;204;216;17;18;0,944444444444444;"Sim";94,4;"ALCANÇOU"
"PI";220005;36;36;3;3;1;"Sim";100;"ALCANÇOU"
"PI";220010;36;36;3;3;1;"Sim";100;"ALCANÇOU"
"PI";220020;96;108;8;9;0,888888888888889;"Sim";88,9;"ALCANÇOU"
"PI";220025;48;48;4;4;1;"Sim";100;"ALCANÇOU"
"PI";220027;36;48;3;4;0,75;"Não";75;"NÃO ALCANÇOU"
"PI";220030;84;84;7;7;1;"Sim";100;"ALCANÇOU"
"PI";220040;176;180;14,6666666666667;15;0,977777777777778;"Sim";97,8;"ALCANÇOU"
"PI";220045;36;36;3;3;1;"Sim";100;"ALCANÇOU"
"PI";220050;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"PI";220060;34;36;2,83333333333333;3;0,944444444444444;"Sim";94,4;"ALCANÇOU"
"PI";220070;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"PI";220080;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"PI";220090;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"PI";220095;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"PI";220100;24;24;2;2;1;"Sim";100;"ALCANÇOU"
