"UF";"COD_MUN";"NOME_MUN";"Ausencia_de_Casos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"SP";352230;"Itapetininga";;390;390;100;100;"ALCANÇOU"
"SP";352240;"Itapeva";;130;130;100;100;"ALCANÇOU"
"SP";352250;"Itapevi";;316;339;93,2153392330383;93,2;"NÃO ALCANÇOU"
"SP";352260;"Itapira";;520;522;99,6168582375479;99,6;"ALCANÇOU"
"SP";352265;"Itapirapuã Paulista";;14;14;100;100;"ALCANÇOU"
"SP";352270;"Itápolis";;6;7;85,7142857142857;85,7;"NÃO ALCANÇOU"
"SP";352280;"Itaporanga";;49;49;100;100;"ALCANÇOU"
"SP";352290;"Itapuí";;161;161;100;100;"ALCANÇOU"
"SP";352300;"Itapura";;2;2;100;100;"ALCANÇOU"
"SP";352310;"Itaquaquecetuba";;812;825;98,4242424242424;98,4;"ALCANÇOU"
"SP";352320;"Itararé";;244;244;100;100;"ALCANÇOU"
"SP";352330;"Itariri";;19;19;100;100;"ALCANÇOU"
"SP";352340;"Itatiba";;791;1009;78,394449950446;78,4;"NÃO ALCANÇOU"
"SP";352350;"Itatinga";;90;91;98,9010989010989;98,9;"ALCANÇOU"
"SP";352360;"Itirapina";;48;51;94,1176470588235;94,1;"NÃO ALCANÇOU"
"SP";352370;"Itirapuã";;3;3;100;100;"ALCANÇOU"
"SP";352380;"Itobi";;5;6;83,3333333333333;83,3;"NÃO ALCANÇOU"
"SP";352390;"Itu";;270;270;100;100;"ALCANÇOU"
"SP";352400;"Itupeva";;119;130;91,5384615384615;91,5;"NÃO ALCANÇOU"
"SP";352410;"Ituverava";;89;89;100;100;"ALCANÇOU"
"SP";352420;"Jaborandi";;1;1;100;100;"ALCANÇOU"
"SP";352430;"Jaboticabal";;72;75;96;96;"ALCANÇOU"
"SP";352440;"Jacareí";;1189;1190;99,9159663865546;99,9;"ALCANÇOU"
"SP";352450;"Jaci";;42;42;100;100;"ALCANÇOU"
"SP";352460;"Jacupiranga";;13;13;100;100;"ALCANÇOU"
"SP";352470;"Jaguariúna";;166;180;92,2222222222222;92,2;"NÃO ALCANÇOU"
"SP";352480;"Jales";;205;209;98,0861244019139;98,1;"ALCANÇOU"
"SP";352490;"Jambeiro";;36;36;100;100;"ALCANÇOU"
"SP";352500;"Jandira";;194;196;98,9795918367347;99;"ALCANÇOU"
"SP";352510;"Jardinópolis";;180;234;76,9230769230769;76,9;"NÃO ALCANÇOU"
"SP";352520;"Jarinu";;112;130;86,1538461538462;86,2;"NÃO ALCANÇOU"
"SP";352530;"Jaú";;125;127;98,4251968503937;98,4;"ALCANÇOU"
"SP";352540;"Jeriquara";;5;5;100;100;"ALCANÇOU"
"SP";352550;"Joanópolis";;14;14;100;100;"ALCANÇOU"
"SP";352560;"João Ramalho";;3;3;100;100;"ALCANÇOU"
"SP";352570;"José Bonifácio";;172;172;100;100;"ALCANÇOU"
"SP";352580;"Júlio Mesquita";"X";;;;;"NÃO ALCANÇOU"
"SP";352585;"Jumirim";"X";;;;;"NÃO ALCANÇOU"
"SP";352590;"Jundiaí";;1351;1375;98,2545454545455;98,3;"ALCANÇOU"
"SP";352600;"Junqueirópolis";;18;18;100;100;"ALCANÇOU"
"SP";352610;"Juquiá";;38;38;100;100;"ALCANÇOU"
"SP";352620;"Juquitiba";;21;112;18,75;18,8;"NÃO ALCANÇOU"
"SP";352630;"Lagoinha";;69;70;98,5714285714286;98,6;"ALCANÇOU"
"SP";352640;"Laranjal Paulista";;75;80;93,75;93,8;"NÃO ALCANÇOU"
"SP";352650;"Lavínia";;10;11;90,9090909090909;90,9;"NÃO ALCANÇOU"
"SP";352660;"Lavrinhas";;3;3;100;100;"ALCANÇOU"
"SP";352670;"Leme";;230;230;100;100;"ALCANÇOU"
"SP";352680;"Lençóis Paulista";;325;326;99,6932515337423;99,7;"ALCANÇOU"
"SP";352690;"Limeira";;653;734;88,9645776566757;89;"NÃO ALCANÇOU"
"SP";352700;"Lindóia";;12;13;92,3076923076923;92,3;"NÃO ALCANÇOU"
"SP";352710;"Lins";;92;96;95,8333333333333;95,8;"ALCANÇOU"
"SP";352720;"Lorena";;89;89;100;100;"ALCANÇOU"
"SP";352725;"Lourdes";"X";;;;;"NÃO ALCANÇOU"
"SP";352730;"Louveira";;122;133;91,7293233082707;91,7;"NÃO ALCANÇOU"
"SP";352740;"Lucélia";;3;3;100;100;"ALCANÇOU"
"SP";352750;"Lucianópolis";;5;5;100;100;"ALCANÇOU"
"SP";352760;"Luís Antônio";;23;25;92;92;"NÃO ALCANÇOU"
"SP";352770;"Luiziânia";;10;10;100;100;"ALCANÇOU"
"SP";352780;"Lupércio";"X";;;;;"NÃO ALCANÇOU"
"SP";352790;"Lutécia";"X";;;;;"NÃO ALCANÇOU"
"SP";352800;"Macatuba";;20;20;100;100;"ALCANÇOU"
"SP";352810;"Macaubal";;22;22;100;100;"ALCANÇOU"
"SP";352820;"Macedônia";;5;5;100;100;"ALCANÇOU"
"SP";352830;"Magda";;2;2;100;100;"ALCANÇOU"
"SP";352840;"Mairinque";;38;39;97,4358974358974;97,4;"ALCANÇOU"
"SP";352850;"Mairiporã";;185;185;100;100;"ALCANÇOU"
"SP";352860;"Manduri";;30;30;100;100;"ALCANÇOU"
"SP";352870;"Marabá Paulista";;1;1;100;100;"ALCANÇOU"
"SP";352880;"Maracaí";;7;7;100;100;"ALCANÇOU"
"SP";352885;"Marapoama";;19;19;100;100;"ALCANÇOU"
"SP";352890;"Mariápolis";"X";;;;;"NÃO ALCANÇOU"
"SP";352900;"Marília";;1575;1585;99,3690851735016;99,4;"ALCANÇOU"
"SP";352910;"Marinópolis";"X";;;;;"NÃO ALCANÇOU"
"SP";352920;"Martinópolis";;40;40;100;100;"ALCANÇOU"
"SP";352930;"Matão";;282;282;100;100;"ALCANÇOU"
