"UF";"COD_MUN";"NOME_MUN";"*Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"TO";170210;"Araguaína";;30;52;57,6923076923077;"NÃO";57,7;"NÃO ALCANÇOU"
"TO";170215;"Araguanã";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170220;"Araguatins";;1;1;100;"SIM";100;"ALCANÇOU"
"TO";170230;"Arapoema";;2;2;100;"SIM";100;"ALCANÇOU"
"TO";170240;"Arraias";;2;4;50;"NÃO";50;"NÃO ALCANÇOU"
"TO";170255;"Augustinópolis";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170270;"Aurora do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170290;"Axixá do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170300;"Babaçulândia";;0;2;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";170305;"Bandeirantes do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170307;"Barra do Ouro";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170310;"Barrolândia";;2;2;100;"SIM";100;"ALCANÇOU"
"TO";170320;"Bernardo Sayão";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170330;"Bom Jesus do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170360;"Brasilândia do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170370;"Brejinho de Nazaré";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170380;"Buriti do Tocantins";;3;3;100;"SIM";100;"ALCANÇOU"
"TO";170382;"Cachoeirinha";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";170384;"Campos Lindos";;0;4;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";170386;"Cariri do Tocantins";;7;7;100;"SIM";100;"ALCANÇOU"
"TO";170388;"Carmolândia";;4;4;100;"SIM";100;"ALCANÇOU"
"TO";170389;"Carrasco Bonito";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170390;"Caseara";;1;3;33,3333333333333;"NÃO";33,3;"NÃO ALCANÇOU"
"TO";170410;"Centenário";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170460;"Chapada de Areia";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170510;"Chapada da Natividade";;0;4;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";170550;"Colinas do Tocantins";;20;20;100;"SIM";100;"ALCANÇOU"
"TO";170555;"Combinado";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170560;"Conceição do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170600;"Couto Magalhães";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170610;"Cristalândia";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170625;"Crixás do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170650;"Darcinópolis";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170700;"Dianópolis";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170710;"Divinópolis do Tocantins";;1;1;100;"SIM";100;"ALCANÇOU"
"TO";170720;"Dois Irmãos do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170730;"Dueré";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170740;"Esperantina";;3;3;100;"SIM";100;"ALCANÇOU"
"TO";170755;"Fátima";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170765;"Figueirópolis";;4;4;100;"SIM";100;"ALCANÇOU"
"TO";170770;"Filadélfia";;2;2;100;"SIM";100;"ALCANÇOU"
"TO";170820;"Formoso do Araguaia";;0;3;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";170825;"Fortaleza do Tabocão";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170830;"Goianorte";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170900;"Goiatins";;77;87;88,5057471264368;"SIM";88,5;"ALCANÇOU"
"TO";170930;"Guaraí";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
