"Região";"UF";"COD_MUN";"Município";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"Norte";"PA";150640;"Santa Cruz do Arari";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150650;"Santa Izabel do Pará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150655;"Santa Luzia do Pará";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150658;"Santa Maria das Barreiras";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150660;"Santa Maria do Pará";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150670;"Santana do Araguaia";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150680;"Santarém";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150690;"Santarém Novo";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150700;"Santo Antônio do Tauá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150710;"São Caetano de Odivelas";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"PA";150715;"São Domingos do Araguaia";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150720;"São Domingos do Capim";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"PA";150730;"São Félix do Xingu";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150740;"São Francisco do Pará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150745;"São Geraldo do Araguaia";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150746;"São João da Ponta";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150747;"São João de Pirabas";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150750;"São João do Araguaia";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150760;"São Miguel do Guamá";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150770;"São Sebastião da Boa Vista";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"PA";150775;"Sapucaia";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150780;"Senador José Porfírio";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150790;"Soure";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150795;"Tailândia";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150796;"Terra Alta";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150797;"Terra Santa";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150800;"Tomé-Açu";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150803;"Tracuateua";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150805;"Trairão";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150808;"Tucumã";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150810;"Tucuruí";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150812;"Ulianópolis";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150815;"Uruará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150820;"Vigia";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150830;"Viseu";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150835;"Vitória do Xingu";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150840;"Xinguara";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AP";160005;"Serra do Navio";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"AP";160010;"Amapá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160015;"Pedra Branca do Amapari";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160020;"Calçoene";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AP";160021;"Cutias";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160023;"Ferreira Gomes";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160025;"Itaubal";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160027;"Laranjal do Jari";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160030;"Macapá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160040;"Mazagão";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160050;"Oiapoque";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160053;"Porto Grande";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160055;"Pracuúba";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"AP";160060;"Santana";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AP";160070;"Tartarugalzinho";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"AP";160080;"Vitória do Jari";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"TO";170025;"Abreulândia";4;4;1;100;"ALCANÇOU"
"Norte";"TO";170030;"Aguiarnópolis";4;4;1;100;"ALCANÇOU"
"Norte";"TO";170035;"Aliança do Tocantins";4;4;1;100;"ALCANÇOU"
